                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.2663,                0.92843,                 1.1319,                0.50955,                 0.4729,                0.51317,                0.25172,                 1.7467,                  1.454,                 1.2069,             0.00070742,             0.00070742,             0.00070742
                    114,                 1.2159,                0.89092,                   1.14,                0.44836,                 0.5166,                0.50646,                0.25829,                 1.8054,                 1.4002,                 1.2148,             0.00070562,             0.00070562,             0.00070562
                    115,                 1.2344,                 0.9082,                 1.1397,                0.44836,                 0.5166,                0.50646,                0.25829,                 1.8054,                 1.4002,                 1.2148,             0.00070382,             0.00070382,             0.00070382
                    116,                 1.2397,                0.87092,                 1.1239,                0.44836,                 0.5166,                0.50646,                0.25829,                 1.8054,                 1.4002,                 1.2148,             0.00070202,             0.00070202,             0.00070202
                    117,                  1.227,                0.86739,                 1.1246,                0.44836,                 0.5166,                0.50646,                0.25829,                 1.8054,                 1.4002,                 1.2148,             0.00070022,             0.00070022,             0.00070022
                    118,                 1.2001,                0.89483,                 1.1297,                0.46955,                0.44785,                0.48803,                0.24202,                 1.8016,                   1.42,                 1.1904,             0.00069842,             0.00069842,             0.00069842
                    119,                 1.2195,                0.84469,                 1.0972,                0.46955,                0.44785,                0.48803,                0.24202,                 1.8016,                   1.42,                 1.1904,             0.00069662,             0.00069662,             0.00069662
                    120,                 1.2344,                0.87562,                 1.1495,                0.46955,                0.44785,                0.48803,                0.24202,                 1.8016,                   1.42,                 1.1904,             0.00069482,             0.00069482,             0.00069482
                    121,                 1.1693,                  0.868,                 1.1099,                0.46955,                0.44785,                0.48803,                0.24202,                 1.8016,                   1.42,                 1.1904,             0.00069302,             0.00069302,             0.00069302
                    122,                 1.2293,                0.83166,                 1.1118,                 0.3929,                0.45103,                 0.4549,                0.23183,                 1.7384,                 1.5408,                  1.172,             0.00069122,             0.00069122,             0.00069122
                    123,                 1.2278,                0.89874,                 1.1191,                 0.3929,                0.45103,                 0.4549,                0.23183,                 1.7384,                 1.5408,                  1.172,             0.00068942,             0.00068942,             0.00068942
                    124,                 1.2341,                0.87856,                  1.104,                 0.3929,                0.45103,                 0.4549,                0.23183,                 1.7384,                 1.5408,                  1.172,             0.00068762,             0.00068762,             0.00068762
                    125,                 1.3042,                0.93631,                  1.142,                 0.3929,                0.45103,                 0.4549,                0.23183,                 1.7384,                 1.5408,                  1.172,             0.00068582,             0.00068582,             0.00068582
